Membership No  Date Joined  Active  
    14319      2015-8-23    no    
    66965      2019-9-23    no    
    38338      2017-10-23   no    
    75709      2019-7-11    yes   
    42248      2020-6-7     no    
    88646      2016-8-18    yes   
    85471      2019-11-9    no    
    62439      2018-10-24   no    
    10714      2016-8-15    yes   
    65469      2017-6-1     yes   
    88288      2016-5-3     no    
    54582      2015-6-6     no    
    60194      2015-6-8     yes   
    30407      2016-2-6     yes   
    37233      2019-10-5    yes   
    50721      2019-5-10    no    
    56952      2015-8-20    yes   
    64981      2016-9-13    yes   
    73555      2016-11-11   no    
    52969      2020-8-8     yes   
